SRC:it	 engine1: ChatGPT to English	IMP_GPT	RAM_GPT	TRM_GPT	UGR_GPT	MIS_GPT	STL_GPT	PRF_GPT	PRN_GPT	SEGS_GPT	Google Translate to English	IMP_GT	RAM_GT	TRM_GT	UGR_GT	MIS_GT	STL_GT	PRF_GT	PRN_GT	SEGS_GT	Human Gold Standard	Segment Penalty Score	Levenstein XXX-Human	Comment	Post-edited segment
Cosa fare - Alluvione	What to Do - Flood										What to Do - Flood										What to Do - Flood				Flood - What to do
Imparare a prevenire e ridurre gli effetti di un'alluvione è un compito che riguarda tutti noi.	Learning to prevent and reduce the effects of a flood is a task for all of us.	1		1			1				Learning to prevent and reduce the effects of a flood is a task that concerns us all.	1		1			1				Learning how to prevent and reduce the effects of flooding is a task for all of us.		#ERROR!	a. The word-by-word translation of the preposition "to" (instead of "how") affects the straightforwardness of the message the original text tries to convey. b. The term "task" (instead of duty) does not properly imply a civil commitment but it can be interpreted as performing a simple activity.	Learning how to prevent and minimize the effects of a flood is a duty that concerns all of us.
Condividi quello che sai in famiglia, a scuola, con amici e colleghi: la diffusione di informazioni sul rischio alluvione è una responsabilità collettiva, a cui tutti dobbiamo contribuire.	Share what you know with family, at school, with friends, and colleagues: spreading information about flood risk is a collective responsibility that we all must contribute to.		1	1			1				Share what you know with your family, school, friends and colleagues: spreading information about flood risk is a collective responsibility, to which we must all contribute.			1			1				Share what you know in your family, at school, with friends and colleagues: disseminating information about flood risk is a collective responsibility to which we all must contribute.		#ERROR!	a. The ChatGPT translation misses the use of the adjective "your", which in English is often placed before nouns when referring to relatives or people belonging to someone's social sphere. b. All of three translations display verbs such "disseminate" and "spread" combined with the noun "information". Such verbs might also have a negative connotation since they recall concepts like "disinformation" or "misinformation" when put together. Therefore, I would opt for a more neutral verb such "to pass on" that prevents the sentence to be interpretated in a negative way.	Share what you know with your family, at school, with your friends, and colleagues: passing on information about flood risk is a collective responsibility we all must contribute to.
Anche tu, con semplici azioni, puoi contribuire a ridurre il rischio alluvione.	You too, with simple actions, can help reduce flood risk.						1				You too, with simple actions, can help reduce flood risk.						1				With simple actions, you can help reduce the risk of flooding.		#ERROR!	Both translations display a cast from the original text.	
Rispetta l’ambiente e segnala al tuo Comune rifiuti ingombranti abbandonati, tombini intasati, corsi d’acqua parzialmente ostruiti, ecc.	Respect the environment and report abandoned bulky waste, clogged drains, partially obstructed waterways, etc., to your Municipality.							1			Respect the environment and report abandoned bulky waste, clogged drains, partially obstructed waterways, etc. to your Municipality.										Respect the environment, and if you see bulky waste abandoned, clogged drains, water courses, etc., partially obstructed, report it to the municipality.		#ERROR!		
Informati sul Piano di protezione civile del tuo Comune per sapere quali sono le aree alluvionabili, le vie di fuga e le aree sicure della tua città.	Find out about your Municipality’s Civil Protection Plan to know the flood-prone areas, escape routes, and safe areas in your city.							1			Find out about your Municipality's Civil Protection Plan to find out which flood areas, escape routes and safe areas are in your city.						2	1			Find out about your municipality's Civil Protection Plan to learn about flood-prone areas, escape routes, and safe areas in your city.		#ERROR!	a. Proofreading error in both transaltions as municipality is translated with capital M where there is no actual need to do it.  b. Google translation displays repetition of the verb "to find out" which makes the sentence sound less fluid and organic. c. The Gold Standard translation as well displays repetition of the preposition "about" and the noun "area".	Find out about your municipality's Civil Protection Plan to become familiar with flood-prone areas, escape routes, and safe spots in your city.
Se tu o un tuo familiare avete bisogno di particolare assistenza (persone con disabilità, anziani), segnalalo al Comune.	If you or a family member needs special assistance (people with disabilities, elderly), notify the Municipality.	1			2		1				If you or a family member need special assistance (people with disabilities, elderly), report it to the Municipality.										If you or a family member needs special assistance (people with disabilities, older people), report it to the municipality.		#ERROR!	a. The ChatGPT translation displays a mistake with the verb need, conjugated in third person singular. b. Considering the translations do not target solely a native English-speaking audience, the use of the term "elderly" might be not fully understood by such audience. That is why it is preferable to adopt a more neutral form such in the Gold Standard transaltion (older people).	If you or a family member require special assistance (i.e. people with disabilities, older people), flag it to the municipality.
Tieniti informato sulle allerte emesse dalla Regione o Provincia Autonoma e sulle azioni intraprese dal Comune.	Stay informed about alerts issued by the Region or Autonomous Province and actions taken by the Municipality.										Stay informed about alerts issued by the Region or Autonomous Province and actions taken by the Municipality.										Stay informed about alerts issued by the Region or Autonomous Province and actions taken by the municipality.		#ERROR!		Stay up to date on alerts issued by the Region or the Autonomous Province and actions taken by the municipality.
Prepara un kit di emergenza che contenga, ad esempio, copia dei documenti, cassetta di pronto soccorso, torcia elettrica, radio a pile, ecc.	Prepare an emergency kit containing, for example, copies of documents, a first-aid kit, a flashlight, a battery-operated radio, etc.	2					1	1			Prepare an emergency kit that contains, for example, copies of documents, first aid kit, flashlight, battery-powered radio, etc.										Prepare an emergency kit containing, for example, a copy of documents, a first aid kit, a flashlight, a battery-powered radio, etc.		#ERROR!	a. The ChatGPT translation contains a hyphen that is not really necessary in "first-aid kit" and "battery-operated radio" does not sound accurate. As the original text describres what gives electricity (hence, power) to the radio, "battery-powered radio" seems to be the best option here. A non-native English speaker might understand something else. b. The Google translation looks a bit more accurate that the Gold Standard. The Gold Standard shows "a copy of documets". As the original text intends only the main idea and not a copy of the specific document, the simple plural without articles works bettere here. 	Prepare an emergency kit containing, for instance, copies of documents, a first aid kit, a flashlight, a battery-powered radio, etc.
Evita di conservare beni di valore in cantina o al piano seminterrato.	Avoid storing valuables in the basement or semi-basement level.	2					2				Avoid storing valuables in the cellar or basement.										Avoid storing valuables in the basement or cellar.		#ERROR!	As the source text lists two different places, located at two different levels of depth, I believe it is more appropriate to translate them as two different terms just to avoid misunderstandings.	
In questa fase, quando viene diramata un’allerta, è possibile compiere alcune azioni preventive per ridurre il rischio.	During this phase, when an alert is issued, you can take some preventive actions to reduce risk.						1				At this stage, when an alert is issued, there are some preventive actions that can be taken to reduce the risk.										You can take preventive actions to reduce the risk when an alert is issued.		#ERROR!	a. The ChatGPT translation mainly casts the original text and it looks like a word-by-word translation. b. The Google translation seems to be more efficient, even though you can still see the "phantom" of the Italian within it. Gold Standard translation, in this segment, is very direct and efficient.	
Tieniti informato sulle situazioni di pericolo previste sul territorio e sulle misure adottate dal tuo Comune.	Stay informed about anticipated hazardous situations in the area and measures adopted by your Municipality.	8					1	1			Stay informed about the expected dangerous situations in your area and the measures adopted by your Municipality.						1				Keep yourself informed about the expected dangerous situations in the area and the measures adopted by your municipality.		#ERROR!	a.  ChatGPT sample displays the expressione "anticipade hazardous situations" that does not reflect the same meaning conveyed by the source text. This expression is likely to mislead both English native speakers and English non-native speakers, hence the use of the adjective anticipated (which imply something planned in advance) and hazardous (which might recall radioactive incidents other that flood risk) are not appropriate in this context. Again we spot the term "Municipality" with capital letter. b. Both Google and Gold Standard translation stick the to Italian expression "Tieniti informato" with "Stay informated" or "Keep yourself informed". I believe a more organic form to convey the same meaning might be "Stay up to date" or "Keep yourself up to date".	Stay up to date about the expected dangerous situations in your area and the measures adopted by your minicipality
Non dormire nei piani seminterrati ed evita di soggiornarvi.	Do not sleep in basements and avoid staying there.										Do not sleep in basements and avoid staying there.										Do not sleep in basements and avoid staying there.		#ERROR!		
Proteggi i locali che si trovano al piano strada e chiudi le porte di cantine, seminterrati o garage solo se non ti esponi a pericoli.	Protect street-level rooms and close basement or garage doors only if you are not putting yourself at risk.	1				1	4				Protect rooms located on the ground floor and close cellar, basement or garage doors only if you do not expose yourself to danger.										Protect rooms at street level and close cellar, basement, or garage doors only if you are not exposing yourself to danger.		#ERROR!	a. ChatGPT sample sticks to the source text with thte expression "street-level rooms". Plus, it avoids to translate the term "cantina". As the main purpose of such type of translation is to be as much as exhaustive and explanatory as possible, missing a term may be quite a big mistake.  b.  The same expression "street level" has been adopted from the Gold Standard. As the main meaning is not impacted, this is not an expression that an English speaker would use. Hence, I believe it is more effective to translate with "rooms located on the ground floor" like in the Google sample, which triggers an immediate understanding in readers.	
Se ti devi spostare, valuta prima il percorso ed evita le zone allagabili.	If you need to move, plan your route first and avoid flood-prone areas.										If you have to move, evaluate the route first and avoid flood-prone areas.										If you need to move, assess the route first and avoid flood-prone areas.		#ERROR!		
Valuta bene se mettere al sicuro l’automobile o altri beni: può essere pericoloso.	Carefully consider if securing your car or other belongings is necessary, as it can be dangerous.						1				Consider carefully whether to secure your car or other property: it can be dangerous.	1					1				Carefully evaluate whether to secure your car or other possessions; it can be dangerous.		#ERROR!	While all of three samples look correct, the only inaccurancy might arise from the terms "possessions or property". In this case, "belongings" (like in the ChatGPT sample) looks more effective and it actually sounds organic.	
Condividi quello che sai sull’allerta e sui comportamenti corretti.	Share what you know about the alert and appropriate behaviors.										Share what you know about alertness and proper behaviors.						1				Share what you know about alertness and proper behavior.		#ERROR!	a. Alertness is an abstract concept. As the source text is describing an event that is likely to happen, I asume it is better to use a concrete noun such alert. b.  On the other end, both ChatGPT and Google samples use the term "behaviours" at the plural. It is most likely to use such word in the singular form.	Share what you know about the alert and appropriate behaviour.
Verifica che la scuola di tuo figlio sia informata dell’allerta in corso e sia pronta ad attivare il proprio piano di emergenza.	Check that your child’s school is aware of the ongoing alert and is ready to activate its emergency plan.										Make sure your child’s school is aware of the current alert and is ready to activate their emergency plan.										Check that your child's school is informed of the ongoing alert and is ready to activate its emergency plan.		#ERROR!		
Se sei in un luogo chiuso	If you are indoors										If you are in a closed place						2				Indoor		#ERROR!	Google translate is too much cast from the orgiinal text.	If Indoors.
Non scendere in cantine, seminterrati o garage per mettere al sicuro i beni: rischi la vita.	Do not go into basements, semi-basements, or garages to secure belongings: your life is at risk.	1		1			2				Do not go down into cellars, basements or garages to secure your belongings: you risk your life.						2				Do not enter cellars, basements, or garages to secure possessions; you will risk your life.		#ERROR!	a. Both samples have an aggressive tone when warning readers. As this is an event that might happen, it is better to use milder froms like in the Gold Standard (you will risk, you might risk). b. The Gold Standard translation, on the other hand, adopts the term "possession" which does not sound as much as organic as "belongings".	Do not enter cellars,  basements, or garages to secure belongings; you might risk your life
Non uscire assolutamente per mettere al sicuro l’automobile.	Do not leave to secure your car under any circumstances.	1					1				Do not go out at all to secure your car.										Do not go outside to secure the car.		#ERROR!	"To leave" is too much generic and it might also be interpetated as to get out of the region. As "go outside" implies a closer proximity, it is the best option here.	Do not go outside to secure your car.
Se ti trovi in un locale seminterrato o al piano terra, sali ai piani superiori. 	If you are in a semi-basement or on the ground floor, move to the upper floors. 						1				If you are in a basement or ground floor, go to the upper floors.										If you are in a basement or ground floor, go up to the upper floors.		#ERROR!		
Evita l’ascensore: si può bloccare.	Avoid using the elevator: it may stop.	1				1	1				 Avoid the elevator: it can get stuck.										 Avoid the elevator: it may get stuck.			There is a significan difference between "to get stuck" and "to stop". ChatGPT sample, in such scenario, does not translate the source text correctly.	
Aiuta gli anziani e le persone con disabilità che si trovano nell’edificio.	Help elderly and disabled people in the building.						1				Help the elderly and disabled people in the building.						1				Help older people and people with disabilities who are in the building.		#ERROR!		
Limita l’uso del cellulare: tenere libere le linee facilita i soccorsi.	Limit cell phone use: keeping lines free facilitates rescue operations.						1				Limit cell phone use: Keeping lines clear makes rescue easier.										Limit mobile phone use: keeping the lines clear makes rescuing easier.		#ERROR!		
Tieniti informato su come evolve la situazione e segui le indicazioni fornite dalle autorità.	Stay informed about the situation’s developments and follow instructions provided by authorities.						1				Stay informed about how the situation evolves and follow the indications provided by the authorities.						1				Stay informed on how the situation develops and follow directions provided by authorities.		#ERROR!		
Chiudi il gas e disattiva l’impianto elettrico. 	Turn off gas and electricity. 	1				1	1				Turn off the gas and turn off the electrical system.										Turn off the gas and the electrical system. 		#ERROR!	a. ChatGPT translation is too much generic in "turn of the electricity" as it may be perceived just as turning lights off.	
Non toccare impianti e apparecchi elettrici con mani o piedi bagnati.	Do not touch electrical systems and devices with wet hands or feet.										 Do not touch electrical systems and appliances with wet hands or feet.	1				2	2				Do not touch any electrical fixtures and appliances with wet hands or feet.			a. The Google and Gold Standard samples display expression such "electrical applicances" and "electrical "electrical fixture" that are too much specific. As the source text refers to all the electric systems and devices in general, I believe this is the best option as it does not focus on a specific category over another.	
Non bere acqua dal rubinetto: potrebbe essere contaminata.	Do not drink tap water: it may be contaminated.										Don't drink tap water: it may be contaminated.					2					Do not drink water from the tap; it may be contaminated.		#ERROR!	a.  The Google sample use the shortheaded form of "do not to" which sounds a bit informal. As the text is address to a wide range of reader, it is best to keep the long form. b. The Gold Standard segment looks very word-by-word. The main purpose of such text is to be direct and immediate.	
Se sei all’aperto	If you are outdoors										If you are outdoors										Outdoor		#ERROR!		If outdoors.
Allontanati dalla zona allagata: per la velocità con cui scorre l’acqua, anche pochi centimetri potrebbero farti cadere.	Move away from the flooded area: due to the speed of the water flow, even a few centimeters could cause you to fall.										Move away from the flooded area: due to the speed at which the water flows, even a few centimetres could cause you to fall.						1				Move away from the flooded area: due to the speed at which water flows, even a few inches could make you fall.		#ERROR!		
Raggiungi rapidamente l’area vicina più elevata, evitando di dirigerti verso pendii o scarpate artificiali che potrebbero franare.	Quickly reach the nearest higher area, avoiding slopes or artificial banks that could collapse.										Quickly reach the highest nearby area, avoiding heading towards slopes or artificial embankments that could collapse.	1					1				Reach the nearest high area quickly, avoiding heading to slopes or artificial embankments that could collapse.		#ERROR!	a. The Google translation looks too much verbous and, again, loses the directness of the message coveyed.  b. Although correct, the term "embankment" in the Gold Standard translation might not be quickly understood from non-English native speakers; that's why "bank" look more appropriate in this scenario.	
Trova riparo ai piani superiori di un edificio.	Take shelter on the upper floors of a building.										Find shelter on the upper floors of a building.										Find shelter on the upper floors of a building.		#ERROR!		
Evita di utilizzare l’automobile. 	Avoid using your car. 										Avoid using your car. 										Avoid using a car. 		#ERROR!		
Anche pochi centimetri d’acqua potrebbero farti perdere il controllo del veicolo o causarne lo spegnimento: rischi di rimanere intrappolato.	Even a few centimeters of water could make you lose control of the vehicle or cause it to stall, trapping you.	1					1				Even a few centimeters of water could cause you to lose control of your vehicle or cause it to stall, leaving you trapped.										Even a few inches of water could cause you to lose control of the vehicle or cause it to shut down; you might be trapped.			a. "Stall" looks to specific and not easily understandable by non-English native speakers. Hence, it is preferable to opt for the Gold Standard variety "to shut down" with a more neutral register.  b. On the other hand, Gold Standard segment adopts the unit of measurment of "hinches". As the source text refers to a territory located in Italy and considering that hinches is a unit adoped in the US, it would be better to stick to "centimeters". c. Also, "leaving you trapped" sounds better over "trapping you". The source text focuses on the idea of "in case of.." Hence it is better to use milder forms instead of assertion when descriving natural disasters, also in order to mitigate panic.	Even a few centimeters of water could cause you to lose control of your vehicle or to shut it down, leaving you trapped.
Evita sottopassi, argini, ponti: sostare o transitare in questi luoghi può essere molto pericoloso.	Avoid underpasses, embankments, bridges: standing or passing in these places can be very dangerous.	4		4		4	1				Avoid underpasses, embankments, bridges: stopping or driving in these places can be very dangerous.	2		2		2					Avoid underpasses, embankments, and bridges: stopping or transiting in these places can be very dangerous.		#ERROR!	a. The ChatGPT sample makes quite an evident mistake when tanslating with "to stand" the verb "sostare", that mean "To temporary stop". Therfore, the meaning of the target text appears completely different. Of course this does not have a terrible impact on the outcome of translation but it definitely chages its meaning. b.  Same happens in the Google samples with the Italian verb "transitare" (to pass, to transit) which is translated in English as "to drive". Again, there is no such a big impact in the message conveys, but the source text does not refer specifically to veichle, hence "to drive" does not look appropriate in such scenario.	
Fai attenzione a dove cammini: potrebbero esserci voragini, buche, tombini aperti, ecc.	Watch where you walk: there may be voids, holes, open manholes, etc.	2		2		2					Be careful where you walk: there may be sinkholes, potholes, open manholes, etc.										Be careful where you walk: there may be sinkholes, potholes, open manholes, etc.		#ERROR!	a. The use of the term "void" in the ChatGPT sample does not look appropriate to me, as this term defines an abstract concept of emptiness, that of course does not apply to the context the source text refers to. 	
Segui le indicazioni delle autorità prima di intraprendere qualsiasi azione, come rientrare in casa, spalare fango, svuotare acqua dalle cantine, ecc.	Follow the authorities’ instructions before taking any action, such as returning home, shoveling mud, draining water from basements, etc.	1				1	1				Follow the instructions of the authorities before taking any action, such as re-entering the house, shoveling mud, emptying water from the cellars, etc.	1		1							Follow the directions of the authorities before taking any action, such as re-entering the house, shoveling mud, emptying water from basements, etc.		#ERROR!	a. ChatGPT translation displays the verb "returning" which is not quite the same as rientrare "re-entering", which I believe suits better in this segment. b. Both Google and Gold Standard samples adopt the verb "to empty". Usually, when combined with water or other fluids, the same action can be express as "to drain", which malkes it more effective.	Follow the directions of the authorities before taking any action, such as re-entering the house, shoveling mud, draining water from basements, etc.
Verifica se puoi riattivare il gas e l’impianto elettrico. 	Check if you can reactivate gas and electricity. 	1					1				Check if you can turn the gas and electrical systems back on. 										Check to see if you can reactivate the gas and the electrical system. 		#ERROR!	a. ChatGPT and Gold Standard samples stick too much to the source language, hence the translation looks a bit forced. "To turn on" might be universally understadable and more immediate.	
